Date,Description,Debit,Credit
1/05/2026,RENT - 12 BROWN ST,2400.00,
3/05/2026,SALARY ACME PTY LTD,,4200.00
4/05/2026,OPAL TAP ON AUTO TOPUP,48.20,
5/05/2026,WOOLWORTHS 1234 SURRY HILLS,148.32,
6/05/2026,NETFLIX.COM,22.99,
8/05/2026,COLES 8892,92.15,
9/05/2026,ORIGIN ENERGY,158.40,
10/05/2026,GLORIA JEANS SURRY HILLS,6.50,
11/05/2026,GUZMAN Y GOMEZ,21.80,
13/05/2026,SPOTIFY P123,12.99,
15/05/2026,TELSTRA MOBILE,72.00,
16/05/2026,UBER *TRIP,23.40,
18/05/2026,WOOLWORTHS 8892 REDFERN,131.07,
20/05/2026,MENULOG,38.50,
21/05/2026,CHEMIST WAREHOUSE,34.95,
23/05/2026,KMART ALEXANDRIA,41.00,
24/05/2026,APPLE.COM/BILL,10.99,
26/05/2026,COLES 8892,88.41,
28/05/2026,TRANSFER TO SAVINGS ACCT,500.00,
30/05/2026,EVENT CINEMAS,32.00,
1/06/2026,RENT - 12 BROWN ST,2400.00,
3/06/2026,SALARY ACME PTY LTD,,4200.00
4/06/2026,OPAL TAP ON AUTO TOPUP,48.20,
5/06/2026,WOOLWORTHS 1234 SURRY HILLS,162.44,
6/06/2026,NETFLIX.COM,22.99,
7/06/2026,STARBUCKS 2042,7.20,
9/06/2026,ORIGIN ENERGY,171.20,
10/06/2026,COLES 8892,104.66,
12/06/2026,DOORDASH,44.20,
13/06/2026,SPOTIFY P123,12.99,
15/06/2026,TELSTRA MOBILE,72.00,
16/06/2026,UBER *TRIP,31.60,
18/06/2026,ALDI NEWTOWN,64.22,
20/06/2026,COLES 8892 REFUND,,42.10
21/06/2026,WOOLWORTHS 1234 SURRY HILLS,119.04,
23/06/2026,BUNNINGS 2982,54.80,
24/06/2026,APPLE.COM/BILL,10.99,
26/06/2026,GUZMAN Y GOMEZ,24.90,
28/06/2026,TRANSFER TO SAVINGS ACCT,500.00,
29/06/2026,MCDONALDS SURRY HILLS,14.50,
1/07/2026,RENT - 12 BROWN ST,2400.00,
3/07/2026,SALARY ACME PTY LTD,,4200.00
4/07/2026,OPAL TAP ON AUTO TOPUP,48.20,
5/07/2026,WOOLWORTHS 1234 SURRY HILLS,142.18,
6/07/2026,NETFLIX.COM,22.99,
8/07/2026,COLES 8892,88.41,
9/07/2026,ORIGIN ENERGY,167.32,
10/07/2026,CHEMIST WAREHOUSE,34.95,
11/07/2026,GUZMAN Y GOMEZ,21.80,
12/07/2026,WOOLWORTHS 8892 REDFERN,119.04,
13/07/2026,SPOTIFY P123,12.99,
15/07/2026,TELSTRA MOBILE,72.00,
16/07/2026,MENULOG,38.50,
18/07/2026,ALDI NEWTOWN,64.22,
19/07/2026,EVENT CINEMAS,32.00,
20/07/2026,UBER *TRIP,18.10,
21/07/2026,WOOLWORTHS 1234 SURRY HILLS,156.90,
22/07/2026,BUNNINGS 2982,54.80,
24/07/2026,APPLE.COM/BILL,10.99,
25/07/2026,KMART ALEXANDRIA,41.00,
26/07/2026,GLORIA JEANS SURRY HILLS,7.20,
28/07/2026,TRANSFER TO SAVINGS ACCT,500.00,
30/07/2026,MCDONALDS SURRY HILLS,14.50,
1/08/2026,RENT - 12 BROWN ST,2400.00,
3/08/2026,SALARY ACME PTY LTD,,4200.00
4/08/2026,OPAL TAP ON AUTO TOPUP,48.20,
5/08/2026,WOOLWORTHS 1234 SURRY HILLS,171.44,
6/08/2026,NETFLIX.COM,22.99,
7/08/2026,THE COFFEE COMMUNE,5.80,
8/08/2026,COLES 8892,102.33,
9/08/2026,ORIGIN ENERGY,154.10,
10/08/2026,CHEMIST WAREHOUSE,18.50,
11/08/2026,DOORDASH,44.20,
13/08/2026,SPOTIFY P123,12.99,
14/08/2026,WOOLWORTHS 8892 REDFERN,138.77,
15/08/2026,TELSTRA MOBILE,72.00,
16/08/2026,GUZMAN Y GOMEZ,24.90,
18/08/2026,ALDI NEWTOWN,71.08,
19/08/2026,QANTAS QF412 SYDNEY,186.00,
20/08/2026,UBER *TRIP,27.40,
21/08/2026,WOOLWORTHS 1234 SURRY HILLS,149.62,
22/08/2026,KMART ALEXANDRIA REFUND,,29.50
24/08/2026,APPLE.COM/BILL,10.99,
25/08/2026,EVENT CINEMAS,36.00,
26/08/2026,STARBUCKS 2042,6.80,
27/08/2026,IGA DARLINGHURST,22.40,
28/08/2026,TRANSFER TO SAVINGS ACCT,500.00,
30/08/2026,MENULOG,41.10,
1/09/2026,RENT - 12 BROWN ST,2400.00,
3/09/2026,SALARY ACME PTY LTD,,4200.00
4/09/2026,OPAL TAP ON AUTO TOPUP,48.20,
5/09/2026,WOOLWORTHS 1234 SURRY HILLS,163.22,
6/09/2026,NETFLIX.COM,22.99,
7/09/2026,GLORIA JEANS SURRY HILLS,6.50,
8/09/2026,COLES 8892,110.48,
9/09/2026,ORIGIN ENERGY,162.75,
10/09/2026,CHEMIST WAREHOUSE,27.80,
11/09/2026,UNKNOWN CAFE NEWTOWN,7.50,
12/09/2026,WOOLWORTHS 8892 REDFERN,128.55,
13/09/2026,SPOTIFY P123,12.99,
14/09/2026,GUZMAN Y GOMEZ,19.40,
15/09/2026,TELSTRA MOBILE,81.00,
15/09/2026,BUNNINGS 2982,88.90,
16/09/2026,MENULOG,33.20,
